Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Beginner Novice, JBNR:B",Cat Ballou,EMMA DE VOS BENAVENTE,31.8,0,0,0,0,31.8,1,0.0
"[HT] Beginner Novice, JBNR:B",Cloud Nine,EMMA-NOELLE ESCHELMAN,33.2,0,0,0,0,33.2,2,0.0
"[HT] Beginner Novice, JBNR:B",I Love Lucy,PIPER RENFRO,35.9,0,0,0,0,35.9,3,0.0
"[HT] Beginner Novice, JBNR:B",Santa Ana Que Dira,SOFIA BOUKHARI,36.2,0,0,0,0,36.2,4,0.0
"[HT] Beginner Novice, JBNR:B",Paint Me a Picture,LACEY LOPICCOLO,35.3,0,0,4,0,39.3,5,0.0
"[HT] Beginner Novice, JBNR:B",HK Corinthian,EMMA DE VOS BENAVENTE,35.9,0,0,4,0,39.9,6,0.0
"[HT] Beginner Novice, JBNR:B",Crème de Cassis,LULU KHIARI,40,0,0,4,0,44,7,0.0
"[HT] Beginner Novice, JBNR:B",Throw A Tizzy Fit,KAITLYN FAVERO,36.8,0,0,12,0,48.8,8,0.0
"[HT] Beginner Novice, JBNR:B",JJ,MELIA R. MEYER,27.7,20,0,0,4,51.7,9,0.0
"[HT] Beginner Novice, JBNR:B",Connect the Dots,CORA FITZ,40.3,20,0,12,4.4,76.7,10,0.0
"[HT] Beginner Novice, JBNR:B",Simon Says,JESSIE KLUBBEN,27.4,60,7.2,0,0,94.6,11,0.0
"[HT] Beginner Novice, JBNR:B",Stevie,CHANTELLE WELLS,31.5,60,E,0,1.2,E,E,0.0
"[HT] Beginner Novice, JBNR:B",Salty,GRACELYN D. DE NIJS,43.8,-,-,-,-,W,W,0.0
"[HT] Beginner Novice, OBN:A",Sailing Time,TOMMY M. GREENGARD,30.9,0,2.4,0,0,33.3,1,0.0
"[HT] Beginner Novice, OBN:A",ExcelStarToblerone,NIKKI LLOYD,30.9,0,0.4,4,0,35.3,2,7.0
"[HT] Beginner Novice, OBN:A",Pippin,DANIELLE MCKINLEY,32.4,0,0,4,0,36.4,3,0.0
"[HT] Beginner Novice, OBN:A",Rouge Et Blanc DF,ALICE CHAN,33.2,0,0,4,0,37.2,4,6.0
"[HT] Beginner Novice, OBN:A",Excel Star Picino,OLGA LONDA,37.4,0,0.8,0,0,38.2,5,5.0
"[HT] Beginner Novice, OBN:A",Fernhill Ladies Man,DANIELLE MCKINLEY,34.4,0,0,4,0,38.4,6,0.0
"[HT] Beginner Novice, OBN:A",Hope's Foolish Pleasure,JOHN KEITH,39.4,0,0,0,2.4,41.8,7,0.0
